Sales Order No,Sales Order Date,Completely_Shipped,Shipment Status,Final Invoice Date,O2C Cycle Days,Pie_Value,Chart_Row
SO/AND/26/00004,2025-04-01,1.0,Fully Shipped,2025-04-23,22.0,,DATA
SO/AND/26/00005,2025-04-01,1.0,Fully Shipped,2025-04-23,22.0,,DATA
SO/AND/26/00006,2025-04-01,1.0,Fully Shipped,2025-04-25,24.0,,DATA
SO/AND/26/00007,2025-04-01,1.0,Fully Shipped,2025-04-26,25.0,,DATA
SO/AND/26/00008,2025-04-01,1.0,Fully Shipped,2025-04-28,27.0,,DATA
SO/AND/26/00009,2025-04-01,1.0,Fully Shipped,2025-04-30,29.0,,DATA
SO/AND/26/00010,2025-04-01,1.0,Fully Shipped,2025-04-29,28.0,,DATA
SO/AND/26/00011,2025-04-01,1.0,Fully Shipped,2025-04-22,21.0,,DATA
SO/AND/26/00012,2025-04-22,1.0,Fully Shipped,2025-04-23,1.0,,DATA
SO/AND/26/00013,2025-04-22,1.0,Fully Shipped,2025-04-29,7.0,,DATA
SO/AND/26/00014,2025-04-22,1.0,Fully Shipped,2025-04-29,7.0,,DATA
SO/AND/26/00015,2025-04-23,1.0,Fully Shipped,2025-04-23,0.0,,DATA
SO/AND/26/00017,2025-04-24,1.0,Fully Shipped,2025-04-26,2.0,,DATA
SO/AND/26/00018,2025-04-26,1.0,Fully Shipped,2025-04-28,2.0,,DATA
SO/AND/26/00019,2025-04-26,1.0,Fully Shipped,2025-04-28,2.0,,DATA
SO/AND/26/00020,2025-04-26,1.0,Fully Shipped,2025-04-26,0.0,,DATA
SO/AND/26/00021,2025-04-28,1.0,Fully Shipped,2025-05-08,10.0,,DATA
SO/AND/26/00022,2025-04-28,1.0,Fully Shipped,2025-05-08,10.0,,DATA
SO/AND/26/00023,2025-04-28,1.0,Fully Shipped,2025-05-16,18.0,,DATA
SO/AND/26/00025,2025-04-28,0.0,Not Shipped,2025-05-24,26.0,,DATA
SO/AND/26/00027,2025-04-28,1.0,Fully Shipped,2025-05-30,32.0,,DATA
SO/AND/26/00028,2025-04-28,1.0,Fully Shipped,2025-05-07,9.0,,DATA
SO/AND/26/00029,2025-04-30,1.0,Fully Shipped,2025-04-30,0.0,,DATA
SO/AND/26/00030,2025-04-30,1.0,Fully Shipped,2025-04-30,0.0,,DATA
SO/AND/26/00031,2025-05-07,1.0,Fully Shipped,2025-05-07,0.0,,DATA
SO/AND/26/00038,2025-05-16,1.0,Fully Shipped,2025-05-16,0.0,,DATA
SO/AND/26/00040,2025-05-23,1.0,Fully Shipped,2025-06-12,20.0,,DATA
SO/AND/26/00042,2025-05-26,0.0,Not Shipped,2025-06-25,30.0,,DATA
SO/AND/26/00043,2025-05-26,1.0,Fully Shipped,2025-06-25,30.0,,DATA
SO/AND/26/00044,2025-05-26,1.0,Fully Shipped,2025-06-12,17.0,,DATA
SO/AND/26/00045,2025-05-26,1.0,Fully Shipped,2025-06-12,17.0,,DATA
SO/AND/26/00046,2025-05-28,1.0,Fully Shipped,2025-07-22,55.0,,DATA
SO/AND/26/00047,2025-05-29,1.0,Fully Shipped,2025-05-29,0.0,,DATA
SO/AND/26/00048,2025-05-29,1.0,Fully Shipped,2025-05-29,0.0,,DATA
SO/AND/26/00049,2025-05-29,1.0,Fully Shipped,2025-05-30,1.0,,DATA
SO/AND/26/00055,2025-06-21,1.0,Fully Shipped,2025-07-10,19.0,,DATA
SO/AND/26/00056,2025-06-21,1.0,Fully Shipped,2025-07-22,31.0,,DATA
SO/AND/26/00060,2025-06-28,1.0,Fully Shipped,2025-06-28,0.0,,DATA
SO/AND/26/00061,2025-06-28,1.0,Fully Shipped,2025-06-28,0.0,,DATA
SO/AND/26/00062,2025-06-28,1.0,Fully Shipped,2025-06-28,0.0,,DATA
SO/AND/26/00085,2025-07-17,1.0,Fully Shipped,2025-07-24,7.0,,DATA
SO/AND/26/00088,2025-07-19,1.0,Fully Shipped,2025-07-24,5.0,,DATA
SO/AND/26/00091,2025-07-23,1.0,Fully Shipped,2025-07-23,0.0,,DATA
SO/AND/26/00092,2025-07-23,1.0,Fully Shipped,2025-07-23,0.0,,DATA
SO/AND/26/00099,2025-07-29,1.0,Fully Shipped,2025-08-11,13.0,,DATA
SO/AND/26/00101,2025-07-29,1.0,Fully Shipped,2025-08-07,9.0,,DATA
SO/AND/26/00102,2025-07-29,1.0,Fully Shipped,2025-08-07,9.0,,DATA
SO/AND/26/00103,2025-07-29,1.0,Fully Shipped,2025-08-11,13.0,,DATA
SO/AND/26/00104,2025-07-29,1.0,Fully Shipped,2025-08-07,9.0,,DATA
SO/AND/26/00108,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/AND/26/00109,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/AND/26/00115,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/AND/26/00130,2025-08-11,0.0,Not Shipped,2025-08-22,11.0,,DATA
SO/AND/26/00137,2025-08-18,1.0,Fully Shipped,2025-08-18,0.0,,DATA
SO/AND/26/00138,2025-08-18,1.0,Fully Shipped,2025-08-18,0.0,,DATA
SO/AND/26/00140,2025-08-18,1.0,Fully Shipped,2025-08-29,11.0,,DATA
SO/AND/26/00143,2025-08-20,1.0,Fully Shipped,2025-08-20,0.0,,DATA
SO/AND/26/00144,2025-08-20,1.0,Fully Shipped,2025-08-20,0.0,,DATA
SO/AND/26/00151,2025-08-22,1.0,Fully Shipped,2025-09-08,17.0,,DATA
SO/AND/26/00166,2025-09-01,1.0,Fully Shipped,2025-09-30,29.0,,DATA
SO/AND/26/00167,2025-09-01,1.0,Fully Shipped,2025-09-26,25.0,,DATA
SO/AND/26/00168,2025-09-01,1.0,Fully Shipped,2025-09-12,11.0,,DATA
SO/AND/26/00169,2025-09-01,1.0,Fully Shipped,2025-09-13,12.0,,DATA
SO/AND/26/00170,2025-09-01,1.0,Fully Shipped,2025-09-19,18.0,,DATA
SO/AND/26/00176,2025-09-08,1.0,Fully Shipped,2025-09-08,0.0,,DATA
SO/AND/26/00186,2025-09-11,1.0,Fully Shipped,2025-09-11,0.0,,DATA
SO/AND/26/00207,2025-09-20,1.0,Fully Shipped,2025-09-24,4.0,,DATA
SO/AND/26/00211,2025-09-23,1.0,Fully Shipped,2025-10-09,16.0,,DATA
SO/AND/26/00212,2025-09-23,1.0,Fully Shipped,2025-10-09,16.0,,DATA
SO/AND/26/00213,2025-09-27,1.0,Fully Shipped,2025-09-27,0.0,,DATA
SO/AND/26/00221,2025-09-26,1.0,Fully Shipped,2025-09-26,0.0,,DATA
SO/AND/26/00222,2025-09-26,1.0,Fully Shipped,2025-10-29,33.0,,DATA
SO/AND/26/00223,2025-09-26,1.0,Fully Shipped,2025-10-09,13.0,,DATA
SO/AND/26/00225,2025-09-26,1.0,Fully Shipped,2025-10-09,13.0,,DATA
SO/AND/26/00227,2025-09-27,1.0,Fully Shipped,2025-09-27,0.0,,DATA
SO/AND/26/00231,2025-09-27,1.0,Fully Shipped,2025-09-27,0.0,,DATA
SO/AND/26/00236,2025-09-30,1.0,Fully Shipped,2025-09-30,0.0,,DATA
SO/AND/26/00237,2025-09-30,1.0,Fully Shipped,2025-09-30,0.0,,DATA
SO/AND/26/00240,2025-09-30,1.0,Fully Shipped,2025-09-30,0.0,,DATA
SO/AND/26/00246,2025-10-03,0.0,Not Shipped,2025-10-18,15.0,,DATA
SO/AND/26/00253,2025-10-09,1.0,Fully Shipped,2025-10-09,0.0,,DATA
SO/AND/26/00254,2025-10-09,1.0,Fully Shipped,2025-10-10,1.0,,DATA
SO/AND/26/00266,2025-10-13,1.0,Fully Shipped,2025-10-13,0.0,,DATA
SO/AND/26/00269,2025-10-16,1.0,Fully Shipped,2025-10-16,0.0,,DATA
SO/AND/26/00276,2025-10-17,1.0,Fully Shipped,2025-10-17,0.0,,DATA
SO/AND/26/00278,2025-10-17,1.0,Fully Shipped,2025-11-05,19.0,,DATA
SO/AND/26/00279,2025-10-17,1.0,Fully Shipped,2025-11-05,19.0,,DATA
SO/AND/26/00281,2025-10-18,1.0,Fully Shipped,2025-10-18,0.0,,DATA
SO/AND/26/00282,2025-10-18,1.0,Fully Shipped,2025-10-18,0.0,,DATA
SO/AND/26/00283,2025-10-19,1.0,Fully Shipped,2025-10-19,0.0,,DATA
SO/AND/26/00284,2025-10-19,1.0,Fully Shipped,2025-10-19,0.0,,DATA
SO/AND/26/00287,2025-10-28,1.0,Fully Shipped,2025-11-06,9.0,,DATA
SO/AND/26/00288,2025-10-28,1.0,Fully Shipped,2025-11-05,8.0,,DATA
SO/AND/26/00311,2025-10-31,1.0,Fully Shipped,2025-10-31,0.0,,DATA
SO/AND/26/00323,2025-10-31,1.0,Fully Shipped,2025-10-31,0.0,,DATA
SO/AND/26/00339,2025-11-07,1.0,Fully Shipped,2025-11-08,1.0,,DATA
SO/AND/26/00340,2025-11-08,1.0,Fully Shipped,2025-11-08,0.0,,DATA
SO/DEL/26/00058,2025-07-18,1.0,Fully Shipped,2025-07-18,0.0,,DATA
SO/HAR/26/00182,2025-08-07,1.0,Fully Shipped,2025-08-07,0.0,,DATA
SO/HAR/26/00221,2025-08-25,1.0,Fully Shipped,2025-08-29,4.0,,DATA
SO/HAR/26/00290,2025-09-20,1.0,Fully Shipped,2025-09-20,0.0,,DATA
SO/HAR/26/00410,2025-10-15,1.0,Fully Shipped,2025-10-15,0.0,,DATA
SO/HAR/26/00428,2025-10-27,1.0,Fully Shipped,2025-10-27,0.0,,DATA
SO/HAR/26/00484,2025-10-31,1.0,Fully Shipped,2025-10-31,0.0,,DATA
SO/PAL/26/00004,2025-04-01,1.0,Fully Shipped,2025-04-25,24.0,,DATA
SO/PAL/26/00005,2025-04-01,1.0,Fully Shipped,2025-04-25,24.0,,DATA
SO/PAL/26/00006,2025-04-01,1.0,Fully Shipped,2025-04-25,24.0,,DATA
SO/PAL/26/00007,2025-04-01,1.0,Fully Shipped,2025-04-28,27.0,,DATA
SO/PAL/26/00010,2025-04-28,1.0,Fully Shipped,2025-04-28,0.0,,DATA
SO/PAL/26/00013,2025-05-08,1.0,Fully Shipped,2025-06-06,29.0,,DATA
SO/PAL/26/00021,2025-05-16,1.0,Fully Shipped,2025-05-16,0.0,,DATA
SO/PAL/26/00023,2025-05-22,1.0,Fully Shipped,2025-07-31,70.0,,DATA
SO/PAL/26/00026,2025-05-26,1.0,Fully Shipped,2025-06-16,21.0,,DATA
SO/PAL/26/00028,2025-05-28,1.0,Fully Shipped,2025-06-25,28.0,,DATA
SO/PAL/26/00030,2025-05-29,1.0,Fully Shipped,2025-05-29,0.0,,DATA
SO/PAL/26/00046,2025-06-19,1.0,Fully Shipped,2025-06-19,0.0,,DATA
SO/PAL/26/00048,2025-06-21,1.0,Fully Shipped,2025-07-15,24.0,,DATA
SO/PAL/26/00052,2025-06-28,1.0,Fully Shipped,2025-06-28,0.0,,DATA
SO/PAL/26/00054,2025-07-05,1.0,Fully Shipped,2025-07-05,0.0,,DATA
SO/PAL/26/00055,2025-07-07,1.0,Fully Shipped,2025-07-24,17.0,,DATA
SO/PAL/26/00062,2025-07-15,1.0,Fully Shipped,2025-07-24,9.0,,DATA
SO/PAL/26/00077,2025-07-22,1.0,Fully Shipped,2025-07-22,0.0,,DATA
SO/PAL/26/00084,2025-07-29,1.0,Fully Shipped,2025-08-22,24.0,,DATA
SO/PAL/26/00088,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/PAL/26/00089,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/PAL/26/00090,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/PAL/26/00101,2025-08-11,1.0,Fully Shipped,2025-08-23,12.0,,DATA
SO/PAL/26/00108,2025-08-14,1.0,Fully Shipped,2025-08-14,0.0,,DATA
SO/PAL/26/00110,2025-08-18,1.0,Fully Shipped,2025-08-18,0.0,,DATA
SO/PAL/26/00113,2025-08-18,1.0,Fully Shipped,2025-08-18,0.0,,DATA
SO/PAL/26/00119,2025-08-22,1.0,Fully Shipped,2025-08-22,0.0,,DATA
SO/PAL/26/00124,2025-08-23,1.0,Fully Shipped,2025-08-23,0.0,,DATA
SO/PAL/26/00125,2025-08-23,1.0,Fully Shipped,2025-08-23,0.0,,DATA
SO/PAL/26/00137,2025-09-01,1.0,Fully Shipped,2025-09-23,22.0,,DATA
SO/PAL/26/00144,2025-09-08,1.0,Fully Shipped,2025-09-08,0.0,,DATA
SO/PAL/26/00152,2025-09-11,1.0,Fully Shipped,2025-09-11,0.0,,DATA
SO/PAL/26/00153,2025-09-11,1.0,Fully Shipped,2025-09-11,0.0,,DATA
SO/PAL/26/00159,2025-09-12,1.0,Fully Shipped,2025-09-12,0.0,,DATA
SO/PAL/26/00168,2025-09-13,1.0,Fully Shipped,2025-09-13,0.0,,DATA
SO/PAL/26/00186,2025-09-18,1.0,Fully Shipped,2025-09-18,0.0,,DATA
SO/PAL/26/00208,2025-09-26,1.0,Fully Shipped,2025-09-26,0.0,,DATA
SO/PAL/26/00209,2025-09-26,1.0,Fully Shipped,2025-10-15,19.0,,DATA
SO/PAL/26/00224,2025-09-30,1.0,Fully Shipped,2025-09-30,0.0,,DATA
SO/PAL/26/00233,2025-10-10,1.0,Fully Shipped,2025-10-10,0.0,,DATA
SO/PAL/26/00239,2025-10-11,1.0,Fully Shipped,2025-10-11,0.0,,DATA
SO/PAL/26/00240,2025-10-11,1.0,Fully Shipped,2025-10-11,0.0,,DATA
SO/PAL/26/00241,2025-10-11,1.0,Fully Shipped,2025-10-11,0.0,,DATA
SO/PAL/26/00246,2025-10-07,1.0,Fully Shipped,2025-10-12,5.0,,DATA
SO/PAL/26/00247,2025-10-13,1.0,Fully Shipped,2025-10-13,0.0,,DATA
SO/PAL/26/00248,2025-10-13,1.0,Fully Shipped,2025-10-13,0.0,,DATA
SO/PAL/26/00249,2025-10-13,1.0,Fully Shipped,2025-10-13,0.0,,DATA
SO/PAL/26/00251,2025-10-13,1.0,Fully Shipped,2025-10-13,0.0,,DATA
SO/PAL/26/00271,2025-10-17,1.0,Fully Shipped,2025-10-31,14.0,,DATA
SO/PAL/26/00278,2025-10-27,1.0,Fully Shipped,2025-10-27,0.0,,DATA
SO/PAL/26/00302,2025-10-28,1.0,Fully Shipped,2025-10-30,2.0,,DATA
SO/PAL/26/00328,2025-11-03,1.0,Fully Shipped,2025-11-03,0.0,,DATA
SO/PAL/26/00329,2025-11-03,1.0,Fully Shipped,2025-11-03,0.0,,DATA
SO/PAL/26/00333,2025-11-05,1.0,Fully Shipped,2025-11-05,0.0,,DATA
SO/PAL/26/00340,2025-11-04,1.0,Fully Shipped,2025-11-07,3.0,,DATA
SO/SIL/26/00002,2025-04-26,1.0,Fully Shipped,2025-04-30,4.0,,DATA
SO/SIL/26/00003,2025-04-26,1.0,Fully Shipped,2025-04-30,4.0,,DATA
SO/SIL/26/00008,2025-04-30,1.0,Fully Shipped,2025-04-30,0.0,,DATA
SO/SIL/26/00012,2025-05-09,1.0,Fully Shipped,2025-05-10,1.0,,DATA
SO/SIL/26/00015,2025-05-15,1.0,Fully Shipped,2025-05-15,0.0,,DATA
SO/SIL/26/00016,2025-05-15,1.0,Fully Shipped,2025-05-17,2.0,,DATA
SO/SIL/26/00017,2025-05-17,1.0,Fully Shipped,2025-05-17,0.0,,DATA
SO/SIL/26/00022,2025-05-22,1.0,Fully Shipped,2025-05-22,0.0,,DATA
SO/SIL/26/00026,2025-05-27,1.0,Fully Shipped,2025-05-28,1.0,,DATA
SO/SIL/26/00029,2025-05-29,1.0,Fully Shipped,2025-05-30,1.0,,DATA
SO/SIL/26/00038,2025-05-31,0.0,Not Shipped,2025-06-05,5.0,,DATA
SO/SIL/26/00049,2025-06-18,1.0,Fully Shipped,2025-06-18,0.0,,DATA
SO/SIL/26/00050,2025-06-18,1.0,Fully Shipped,2025-06-18,0.0,,DATA
SO/SIL/26/00052,2025-06-19,1.0,Fully Shipped,2025-07-04,15.0,,DATA
SO/SIL/26/00057,2025-06-24,1.0,Fully Shipped,2025-06-24,0.0,,DATA
SO/SIL/26/00062,2025-07-03,1.0,Fully Shipped,2025-07-03,0.0,,DATA
SO/SIL/26/00063,2025-07-05,1.0,Fully Shipped,2025-07-05,0.0,,DATA
SO/SIL/26/00064,2025-07-07,1.0,Fully Shipped,2025-07-07,0.0,,DATA
SO/SIL/26/00065,2025-07-07,1.0,Fully Shipped,2025-07-07,0.0,,DATA
SO/SIL/26/00074,2025-07-14,1.0,Fully Shipped,2025-07-14,0.0,,DATA
SO/SIL/26/00076,2025-07-15,1.0,Fully Shipped,2025-07-16,1.0,,DATA
SO/SIL/26/00078,2025-07-17,1.0,Fully Shipped,2025-07-17,0.0,,DATA
SO/SIL/26/00100,2025-07-31,1.0,Fully Shipped,2025-07-31,0.0,,DATA
SO/SIL/26/00108,2025-08-04,1.0,Fully Shipped,2025-08-04,0.0,,DATA
